word,count
eyesfinally,4
socialites,1
strongbetcha,2
sayaheeahee,2
bargain,1
boyim,2
strongrunning,1
mrs,7
them,438
blueelectric,1
sunbathing,1
room,132
weakif,1
coldplay,2
cancer,8
sayya,2
doorwhen,3
thee,12
interview,6
froze,3
dancingdance,4
dollars,33
unwindmy,1
shower,27
warmthit,2
dreamscause,1
muscle,1
cream,28
white,162
noseim,1
fainted,1
relationship,4
brown,31
contagious,1
watching,126
losersee,1
silk,2
weary,13
kneeslike,1
soundits,1
invest,3
whitewalls,3
saylet,2
rich,29
xray,3
shirt,19
drugs,2
partying,4
dreamyour,1
heros,4
sightand,2
celebratei,4
gums,1
doorway,5
roundevery,2
shoutpresidential,1
kneesim,1
ahead,94
dancedancedancedance,2
hardest,12
dreamthats,1
jobs,6
radiotake,1
ringing,12
chat,1
warmer,7
payback,2
pays,6
teacher,14
friendly,6
married,20
dadadadadayayif,1
sleepin,11
glows,1
friendship,12
loosen,3
cookes,1
bedroom,5
bluest,1
blindly,2
radioeven,1
strongi,3
pretendin,4
graduated,1
sweetheartlove,4
welcomed,1
job,24
exchanging,2
shinin,31
songhe,2
moviepeg,3
science,3
office,3
performers,1
winnie,1
basketball,1
reply,3
image,12
songi,6
bodys,48
confidence,10
druggie,1
ass,42
meetings,2
shirtits,2
plans,51
number,97
sports,1
controli,3
eyeand,2
frozen,15
screaming,14
welcome,56
produced,4
saycoming,2
friendsbaby,1
cleansir,1
bleeding,33
nickel,2
phones,1
boyyou,6
eyesive,2
sayabraabracadabra,2
blue,194
harmonywhy,1
soaps,1
ball,43
homes,3
market,1
boombadoom,12
blueoh,1
travellin,4
importance,1
unwindin,1
watched,20
feelings,108
roundsomeones,2
windowthere,2
saying,192
drunken,1
kidding,5
immune,3
learning,23
guitarpicking,1
fortunes,1
school,48
poisonone,1
pub,1
jazz,37
loverecuerdo,2
question,34
lottery,3
neighborhoods,3
trying,208
excelled,2
leaded,2
meet,122
kingone,2
weakening,2
danceback,1
gamesand,1
someoneso,1
neck,9
eyesi,18
questioning,2
lipsdont,1
easyits,1
investigation,1
spend,96
sayssimple,2
sunshinin,1
backyard,1
champagneoh,1
solutioni,2
graduation,1
stallion,3
success,18
dancedancei,2
dreamslisten,1
ear,42
weekend,11
sleepy,12
sayonara,2
cook,5
hot,192
windowpictures,1
goals,4
screamingcould,1
tires,2
payin,14
hair,156
sayare,4
songall,4
blackedout,2
party,284
celebration,44
relax,17
saving,40
shoutin,9
warmbaby,1
value,1
exercise,2
gazin,1
musics,36
touchand,2
toothrained,1
poisoned,3
silencio,1
musicyouve,4
jazzy,1
