year,category,count
1996,CoreShe,242
1996,Achiev,209
1996,Work,86
1996,Body,334
1996,See,351
1996,Hear,266
1996,Feel,268
1996,Health,294
1996,Leisure,281
1996,Home,67
1996,Money,187
1996,Social,3559
1996,Family,54
1996,Friends,103
1996,Colour,9
1997,She,240
1997,He,156
1997,CoreHe,152
1997,CoreShe,194
1997,Achiev,310
1997,Work,109
1997,Body,452
1997,See,369
1997,Hear,263
1997,Feel,356
1997,Health,263
1997,Leisure,429
1997,Home,85
1997,Money,174
1997,Social,4107
1997,Family,47
1997,Friends,86
1997,Colour,11
1998,She,421
1998,He,235
1998,CoreHe,235
1998,CoreShe,303
1998,Achiev,371
1998,Work,74
1998,Body,611
1998,See,466
1998,Hear,422
1998,Feel,420
1998,Health,323
1998,Leisure,429
1998,Home,89
1998,Money,169
1998,Social,4842
1998,Family,96
1998,Friends,73
1998,Colour,18
1999,She,418
1999,He,195
1999,CoreHe,194
1999,CoreShe,358
1999,Achiev,289
1999,Work,99
1999,Body,502
1999,See,415
1999,Hear,351
1999,Feel,457
1999,Health,286
1999,Leisure,345
1999,Home,102
1999,Money,207
1999,Social,4600
1999,Family,54
1999,Friends,51
1999,Colour,8
2000,She,557
2000,He,299
2000,CoreHe,299
2000,CoreShe,477
2000,Achiev,396
2000,Work,93
2000,Body,478
2000,See,403
2000,Hear,388
2000,Feel,401
2000,Health,281
2000,Leisure,490
2000,Home,99
2000,Money,155
2000,Social,4986
2000,Family,88
2000,Friends,73
2000,Colour,11
2001,She,498
2001,He,390
2001,CoreHe,387
2001,CoreShe,444
2001,Achiev,345
2001,Work,112
2001,Body,678
2001,See,509
2001,Hear,450
2001,Feel,414
2001,Health,347
2001,Leisure,655
2001,Home,279
2001,Money,223
2001,Social,4876
2001,Family,90
2001,Friends,95
2001,Colour,19
2002,She,628
2002,He,474
2002,CoreHe,473
2002,CoreShe,495
2002,Achiev,411
2002,Work,152
2002,Body,605
2002,See,560
2002,Hear,422
2002,Feel,434
2002,Health,455
2002,Leisure,519
2002,Home,108
2002,Money,154
2002,Social,5127
2002,Family,163
2002,Friends,153
2002,Colour,18
2003,She,735
2003,He,436
2003,CoreHe,435
2003,CoreShe,551
2003,Achiev,467
2003,Work,162
2003,Body,662
2003,See,571
2003,Hear,335
2003,Feel,405
2003,Health,311
2003,Leisure,641
2003,Home,177
2003,Money,208
2003,Social,5483
2003,Family,75
2003,Friends,61
2003,Colour,26
2004,She,760
2004,He,350
2004,CoreHe,350
2004,CoreShe,644
2004,Achiev,440
2004,Work,147
2004,Body,661
2004,See,375
2004,Hear,407
2004,Feel,516
2004,Health,238
2004,Leisure,662
2004,Home,137
2004,Money,183
2004,Social,5182
2004,Family,130
2004,Friends,74
2004,Colour,21
2005,She,677
2005,He,280
2005,CoreHe,280
2005,CoreShe,613
2005,Achiev,534
2005,Work,155
2005,Body,839
2005,See,485
2005,Hear,440
2005,Feel,452
2005,Health,302
2005,Leisure,620
2005,Home,150
2005,Money,208
2005,Social,4951
2005,Family,122
2005,Friends,111
2005,Colour,10
2006,She,649
2006,He,348
2006,CoreHe,348
2006,CoreShe,525
2006,Achiev,416
2006,Work,132
2006,Body,754
2006,See,664
2006,Hear,530
2006,Feel,471
2006,Health,247
2006,Leisure,567
2006,Home,129
2006,Money,220
2006,Social,5146
2006,Family,87
2006,Friends,62
2006,Colour,30
2007,She,1024
2007,He,391
2007,CoreHe,388
2007,CoreShe,914
2007,Achiev,433
2007,Work,110
2007,Body,607
2007,See,509
2007,Hear,364
2007,Feel,532
2007,Health,274
2007,Leisure,607
2007,Home,149
2007,Money,207
2007,Social,5293
2007,Family,55
2007,Friends,81
2007,Colour,26
2008,She,943
2008,He,246
2008,CoreHe,244
2008,CoreShe,855
2008,Achiev,319
2008,Work,112
2008,Body,575
2008,See,513
2008,Hear,465
2008,Feel,462
2008,Health,325
2008,Leisure,536
2008,Home,130
2008,Money,283
2008,Social,5213
2008,Family,33
2008,Friends,30
2008,Colour,17
2009,She,775
2009,He,257
2009,CoreHe,257
2009,CoreShe,678
2009,Achiev,437
2009,Work,131
2009,Body,525
2009,See,562
2009,Hear,483
2009,Feel,438
2009,Health,302
2009,Leisure,756
