year,category,count
2009,Home,37
2009,Money,70
2009,Social,1869
2009,Family,9
2009,Friends,11
2009,Colour,21
2010,She,360
2010,He,0
2010,CoreHe,0
2010,CoreShe,235
2010,Achiev,263
2010,Work,52
2010,Body,323
2010,See,177
2010,Hear,205
2010,Feel,169
2010,Health,129
2010,Leisure,313
2010,Home,67
2010,Money,47
2010,Social,2483
2010,Family,49
2010,Friends,56
2010,Colour,6
2011,She,286
2011,He,0
2011,CoreHe,0
2011,CoreShe,255
2011,Achiev,212
2011,Work,54
2011,Body,306
2011,See,261
2011,Hear,199
2011,Feel,335
2011,Health,143
2011,Leisure,381
2011,Home,40
2011,Money,105
2011,Social,2308
2011,Family,19
2011,Friends,30
2011,Colour,5
2012,She,177
2012,He,0
2012,CoreHe,0
2012,CoreShe,104
2012,Achiev,223
2012,Work,79
2012,Body,405
2012,See,288
2012,Hear,222
2012,Feel,313
2012,Health,200
2012,Leisure,334
2012,Home,67
2012,Money,99
2012,Social,2514
2012,Family,11
2012,Friends,27
2012,Colour,4
2013,She,212
2013,He,0
2013,CoreHe,0
2013,CoreShe,171
2013,Achiev,169
2013,Work,32
2013,Body,369
2013,See,386
2013,Hear,237
2013,Feel,287
2013,Health,174
2013,Leisure,332
2013,Home,76
2013,Money,102
2013,Social,2435
2013,Family,14
2013,Friends,19
2013,Colour,2
2014,She,168
2014,He,0
2014,CoreHe,0
2014,CoreShe,133
2014,Achiev,205
2014,Work,51
2014,Body,244
2014,See,224
2014,Hear,221
2014,Feel,252
2014,Health,154
2014,Leisure,271
2014,Home,85
2014,Money,74
2014,Social,2038
2014,Family,12
2014,Friends,12
2014,Colour,13
2015,She,224
2015,He,0
2015,CoreHe,0
2015,CoreShe,168
2015,Achiev,223
2015,Work,63
2015,Body,279
2015,See,222
2015,Hear,169
2015,Feel,190
2015,Health,133
2015,Leisure,236
2015,Home,76
2015,Money,194
2015,Social,2452
2015,Family,28
2015,Friends,18
2015,Colour,3
