,Unnamed: 0,Lyrics,Year,dominant_gender,Emotions
30,81, youre sweet as a honey bee but like a honey bee stings youve gone and left my heart in pain all you left is our favorite song the one we danced to all night long it used to bring sweet memories of a tender love that used to benow its the same old song but with a different meaning since you been gone its the same old song but with a different meaning since you been gone i oh isentimental fool am i to hear a old love song and wanna cry cause the melody keeps haunting me reminding me how in love we used to be keep hearing the part that used to touch my heart saying together forever breaking up neverits the same old song but with a different meaning since you been gone but its the same old song but with a different meaning since you been goneprecious memories keep a lingering on every time i hear our favorite song now youre gone left this emptiness i only reminisce the happiness we spent we used to dance to the music make romance through the musicnow its the same old song but with a different meaning since you been gone its the same old song but with a different meaning since you been gone i oh iits the same old song but with a different meaning since you been gone its the same old song ,1965,female,"{'score': 0.573921, 'tone_id': 'joy', 'tone_name': 'Joy'}"
31,86,well i told you once and i told you twice but ya never listen to my advice you dont try very hard to please me with what you know it should be easy well this could be the last time this could be the last time maybe the last time i dont know oh no oh no well im sorry girl but i cant stay feelin like i do today its too much pain and too much sorrow guess ill feel the same tomorrow well this could be the last time this could be the last time maybe the last time i dont know oh no oh no well i told you once and i told you twice that someone will have to pay the price but heres a chance to change your mind cuz ill be gone a long long time well this could be the last time this could be the last time maybe the last time i dont know oh no oh no well this could be the last time,1965,female,"{'score': 0.72916, 'tone_id': 'sadness', 'tone_name': 'Sadness'}"
32,87,do you believe in magic in a young girls heart how the music can free her whenever it starts and its magic if the music is groovy it makes you feel happy like an oldtime movie ill tell you about the magic and itll free your soul but its like trying to tell a stranger bout rock and roll if you believe in magic dont bother to choose if its jug band music or rhythm and blues just go and listen itll start with a smile it wont wipe off your face no matter how hard you try your feet start tapping and you cant seem to find how you got there so just blow your mind if you believe in magic come along with me well dance until morning til theres just you and me and maybe if the music is right ill meet you tomorrow sort of late at night and well go dancing baby then youll see how the magics in the music and the musics in me yeah do you believe in magic yeah believe in the magic of a young girls soul believe in the magic of rock and roll believe in the magic that can set you free ohh talking bout magic do you believe like i believe do you believe in magic do you believe like i believe do you believe believer do you believe like i believe do you believe in magic fade,1965,female,"{'score': 0.797526, 'tone_id': 'joy', 'tone_name': 'Joy'}"
33,90,i know a girl whos soft and sweet shes so fine she cant be beat got everything that i desire sets the summer sun on fire i want candy i want candy go to see her with her hair hung down aint no finer girl in town candys just what the doctor ordered shes so sweet she makes my mouth water i want candy i want candy i want candy i want candy i want candy i want candy candy on the beach theres nothing better but i like candy when its wrapped in a sweater some day soon ill make her mine then ill have candy all the time i want candy i want candy hey hey hey hey hey hey hey hey hey ,1965,female,"{'score': 0.744918, 'tone_id': 'joy', 'tone_name': 'Joy'}"
34,94,i feel tears well in up from deep inside like my hearts goin to break and a stab of loneliness sharp and painful that i may never shake you might say that i was takin it hard since you gave me the final goodbye but dont you wager that ill hide the sorrow when i may break right down and cry now the race is on and here comes pride up the backstretch heartaches are goin to the inside my tears are holdin back theyre tryin not to fall my hearts out of the runnin true loves scratched for anothers sake the race is on and it looks like heartaches and the winner loses all one day i ventured in love never once suspectin what the final results would be how i lived in fear of wakin up each mornin and find that youre gone from me theres ache and pain in my heart for the name of the one that ill never replaced somebody new came up to win her and i came out in second place now the race is on and here comes pride up the backstretch heartaches are goin to the inside my tears are holdin back theyre tryin not to fall my hearts out of the runnin true loves scratched for anothers sake the race is on and it looks like heartaches and the winner loses all,1965,female,"{'score': 0.815414, 'tone_id': 'sadness', 'tone_name': 'Sadness'}"
35,96,oo ah oo ah oo oo kitty tell us about the boy from new york city oo ah oo ah come on kitty tell us about the boy from new york city hes kinda tall hes really fine yeah yeah someday i hope to make him mine all mine yeah yeah and hes neat and oh so sweet and the way he looked at me just swept me off my feet yeah yeah oo ee you oughta come and see how he walks yeah yeah and he talks oo ah oo ah oo oos kitty tell us about the boy from new york city oo ah oo ah come on kitty tell us about the boy from new york city hes really down and hes no clown yeah yeah he has the finest penthouse ive ever seen in town yeah yeah and hes cute in his mohair suit and he keeps his pockets full of spending loot yeah yeah oo ee yeah were all right yeah oo oo evry time he says he loves me chills run down my spine evry time he wants to kiss me he makes me feel so fine thats him alright hes the boy from new york city we call him jill were all right oo ah oo ah kitty tell us about the boy from new york city oo ah oo ah kitty tell us about the boy from new york city,1965,male,"{'score': 0.779238, 'tone_id': 'joy', 'tone_name': 'Joy'}"
36,97, no one will understand what ive gotta do ive gotta find a place to hide with my baby by my side shes been hurt so much they treat her mean and cruel they try to keep us far apart theres only one thing left we can dowe gotta keep searchin searchin find a place to hide searchin searchin shell be by my side if we gotta keep on the run well follow the sunah weeooh follow the sunah weeoohdoesnt matter doesnt matter what people might say shes mine and im gonna take her anywaygotta keep searchin searchin find a place to stay searchin searchin every night and day if we gotta keep on the run well follow the sunah weeooh follow the sunah weeooh ,1965,female,
37,100,cherish is the word i use to describe all the feeling that i have hiding here for you inside you dont know how many times ive wished that i had told you you dont know how many times ive wished that i could hold you you dont know how many times ive wished that i could mold you into someone who could cherish me as much as i cherish you perish is the word that more than applies to the hope in my heart each time i realize that i am not gonna be the one to share your dreams that i am not gonna be the one to share your schemes that i am not gonna be the one to share what seems to be the life that you could cherish as much as i do yours oh im beginning to think that man has never found the words that could make you want me that have the right amount of letters just the right sound that could make you hear make you see that you are drivin me out of my mind oh i could say i need you but then youd realize that i want you just like a thousand other guys whod say they loved you with all the rest of their lies when all they wanted was to touch your face your hands and gaze into your eyes cherish is the word i use to describe all the feeling that i have hiding here for you inside you dont know how many times ive wished that i had told you you dont know how many times ive wished that i could hold you you dont know how many times ive wished that i could mold you into someone who could cherish me as much as i cherish you and i do cherish you and i do cherish you cherish is the word,1966,male,"{'score': 0.689247, 'tone_id': 'sadness', 'tone_name': 'Sadness'}"
38,101, girl i cant let you do this let you walk away girl how can i live through this when youre all i wake up for each daybaby youre my soul and my lifes inspiration youre all ive got to get me by youre my soul and my inspiration without you baby what good am ii never had much goin but at least i had you how can you walk out knowin i aint got nothin left if you dobaby youre my soul and my lifes inspiration youre all ive got to get me by youre my soul and my inspiration without you baby what good am i oh what good am ibaby i cant make it withoutcha and im tellin ya honey youre my reason for laughin for cryin for livin and for dyinbaby i cant make it without you please im beggin you baby if you go it will kill me i swear it girl i just cant bear ityoure my soul and my lifes inspiration youre all ive got to get me by youre my soul and my inspiration without you baby what good am i oh what good am iyoure my soul and my lifes inspiration youre all ive got all ive got to get by soul inspiration oh baby im beggin you baby ,1966,female,"{'score': 0.757552, 'tone_id': 'joy', 'tone_name': 'Joy'}"
39,102, now if you feel that you cant go on because all of your hope is gone and your life is filled with much confusion until happiness is just an illusion and your world around is crumblin down darling reach out come on girl reach on out for me reach out reach out for me ill be there with a love that will shelter you ill be there with a love that will see you throughwhen you feel lost and about to give up cause your best just aint good enough and you feel the world has grown cold and youre drifting out all on your own and you need a hand to hold darling reach out come on girl reach out for me reach out reach out for me ill be there to love and comfort you and ill be there to cherish and care for you ill be there with a love that will see you through ill be there to love and comfort youi can tell the way you hang your head youre without love and now youre afraid and through your tears you look around but theres no peace of mind to be found i know what youre thinkin youre alone now no love of your own but darling reach out come on girl reach out for me reach out just look over your shoulder ill be there to give you all the love you need and ill be there you can always depend on me ,1966,female,"{'score': 0.677443, 'tone_id': 'joy', 'tone_name': 'Joy'}"
